iter	Passed	Remaining
782	8644	2395
783	8655	2384
784	8666	2373
785	8677	2362
786	8688	2351
787	8699	2340
788	8711	2329
789	8722	2318
790	8732	2307
791	8743	2296
792	8753	2285
793	8764	2274
794	8776	2263
795	8786	2251
796	8797	2240
797	8807	2229
798	8818	2218
799	8828	2207
800	8839	2196
801	8849	2184
802	8860	2173
803	8871	2162
804	8881	2151
805	8893	2140
806	8907	2130
807	8920	2119
808	8932	2108
809	8946	2098
810	8957	2087
811	8969	2076
812	8980	2065
813	8992	2054
814	9006	2044
815	9019	2033
816	9033	2023
817	9043	2012
818	9055	2001
819	9067	1990
820	9079	1979
821	9090	1968
822	9102	1957
823	9113	1946
824	9124	1935
825	9136	1924
826	9148	1913
827	9160	1902
828	9171	1891
829	9183	1881
830	9194	1869
831	9207	1859
832	9217	1848
833	9229	1837
834	9240	1826
835	9252	1815
836	9262	1803
837	9274	1792
838	9286	1781
839	9297	1770
840	9309	1760
841	9320	1748
842	9332	1738
843	9343	1727
844	9355	1716
845	9367	1705
846	9378	1694
847	9390	1683
848	9401	1672
849	9413	1661
850	9425	1650
851	9437	1639
852	9448	1628
853	9458	1617
854	9468	1605
855	9479	1594
856	9490	1583
857	9500	1572
858	9511	1561
859	9522	1550
860	9532	1538
861	9543	1527
862	9554	1516
863	9565	1505
864	9576	1494
865	9587	1483
866	9598	1472
867	9608	1461
868	9619	1450
869	9630	1438
870	9640	1427
871	9651	1416
872	9662	1405
873	9673	1394
874	9684	1383
875	9695	1372
876	9705	1361
877	9716	1350
878	9727	1339
879	9738	1328
880	9749	1316
881	9760	1305
882	9771	1294
883	9782	1283
884	9793	1272
885	9803	1261
886	9814	1250
887	9826	1239
888	9837	1228
889	9848	1217
890	9859	1206
891	9870	1195
892	9880	1183
893	9892	1172
894	9903	1161
895	9914	1150
896	9924	1139
897	9934	1128
898	9945	1117
899	9956	1106
900	9966	1095
901	9976	1083
902	9987	1072
903	9998	1061
904	10009	1050
905	10020	1039
906	10031	1028
907	10041	1017
908	10052	1006
909	10063	995
910	10073	984
911	10084	973
912	10095	961
913	10106	950
914	10116	939
915	10127	928
916	10137	917
917	10148	906
918	10159	895
919	10170	884
920	10180	873
921	10191	862
922	10201	851
923	10211	839
924	10222	828
925	10233	817
926	10245	806
927	10256	795
928	10266	784
929	10277	773
930	10287	762
